decision_id	stage	topic	planned_config_key	status	current_value	allowed_values_or_rule	evidence_or_rationale_required	planned_script	planned_class	affected_outputs
SCOPE-001	all	workflow namespace	workflow.name	FIXED_CONTRACT	primary_processing	exactly primary_processing	Standalone numbering must not collide with classification or mapping workflows	pipeline/configuration.py	PrimaryProcessingConfiguration	all
SCOPE-002	all	stage numbering	workflow.stages	FIXED_CONTRACT	00-09	exact ordered stages 00 through 09	User required a standalone sequence beginning at 00	pipeline/configuration.py	PrimaryProcessingConfiguration	all
INPUT-001	00	primary expression source	inputs.cellranger_root	FIXED_CONTRACT	/nfs/turbo/umms-ziobroj/Ziobro Lab/MGE scRNA-seq/10x_analysis_15662-JZ/Sample_15662-JZ-P01	read-only existing Cell Ranger root	Validated Paper 3 source delivery	00_register_inputs.py	CellRangerInputRegistrar	cellranger_input_manifest.tsv
INPUT-002	00	sample inclusion	inputs.sample_ids	FIXED_CONTRACT	15662-JZ-1 through 15662-JZ-12	exact 12 registered technical samples	All source samples must be inventoried before exclusions are considered	00_register_inputs.py	CellRangerInputRegistrar	sample_input_inventory.tsv
INPUT-003	00	metadata source	inputs.sample_key	FIXED_CONTRACT	paper3_pcdh19/config/sample_key.csv	metadata join only	Sample identity is required but is not an expression source	00_register_inputs.py	CellRangerInputRegistrar	sample_input_inventory.tsv
INPUT-004	00	Cell Ranger artifact inventory	inputs.required_artifacts	PENDING_APPROVAL	TBD	filtered feature-barcode H5; barcodes; features; metrics; raw matrix if ambient diagnostics are approved	Step 00 must prove exact availability and identity	00_register_inputs.py	CellRangerInputRegistrar	cellranger_input_manifest.tsv
INPUT-005	00	input integrity method	inputs.integrity_checks	PENDING_APPROVAL	TBD	path+size+mtime; SHA-256; vendor metadata checks	Choose appropriate cost and reproducibility level for large immutable inputs	00_register_inputs.py	ManifestValidator	input_validation.tsv
INPUT-006	00	prohibited derived inputs	inputs.prohibited	FIXED_CONTRACT	Step 01 mapping RDS; transferred labels; inherited UMAPs; inherited clusters	must remain prohibited through Step 08	Primary cleanup and geometry must originate from Cell Ranger counts	pipeline/contracts.py	StageContract	all objects through Step 08
ENGINE-001	all	analysis backend	engine.backend	PENDING_APPROVAL	TBD	scanpy; seurat	Select before implementation and pin exact environment	pipeline/configuration.py	PrimaryProcessingConfiguration	all objects and executable requirements
ENGINE-002	01	canonical object format	engine.canonical_format	PENDING_APPROVAL	TBD	h5ad; rds; declared interoperable pair	Must support sparse 450788-cell data and raw-count preservation	01_build_canonical_counts.py	CanonicalCountObjectBuilder	all object files
ENGINE-003	all	random seed	engine.random_seed	PENDING_APPROVAL	TBD	one nonnegative integer reused where supported	All stochastic methods must record their effective seed	pipeline/configuration.py	PrimaryProcessingConfiguration	stochastic outputs
IMPORT-001	01	primary matrix	import.matrix_kind	FIXED_CONTRACT	per-sample Cell Ranger filtered feature-barcode matrix	integer count matrix only	User required primary processing from Cell Ranger outputs	01_build_canonical_counts.py	CellRangerMatrixRepository	paper3_canonical_raw_counts.<format>
IMPORT-002	01	feature types	import.feature_types	PENDING_APPROVAL	TBD	Gene Expression only; explicitly named additional feature types	Step 00 feature inventory must show available types	01_build_canonical_counts.py	FeatureContract	feature_inventory.tsv; canonical object
IMPORT-003	01	stable cell ID	import.cell_id_template	FIXED_CONTRACT	<technical_sample_id>_<10x_barcode>	exact globally unique template	Prevents cross-sample barcode collision and supports later joins	01_build_canonical_counts.py	CellIdentityContract	cell_identity.tsv.gz; all objects
