analysis_role	urd_id	jia_lineage_target	cluster_ids	exact_cluster_names	neuron_only_clusters	validation_genes	selection_rule	notes
root_candidate_pool	jia_progenitor_root	progenitor_root	12	12 - Dividing cells	NA	RGC1_score;RGC2_score;HES1;VIM;NES;IPC_score;DLX1;DLX2;ASCL1	within cluster 12 select top 10% by RootScore	RootScore = z(RGC1_score)+z(RGC2_score)+z(HES1)+z(VIM)+z(NES)-z(IPC_score)-z(DLX1)-z(DLX2)-z(ASCL1)
retained_upstream	retained_upstream_lhx8_isl1_neuron0	LHX8/ISL1-like upstream immature MGE/striatal-GP state	0;1;2;3;5;8;11	neuron-only reclustering subset	0	SOX5;SLIT2;PEG10;STMN2;TUBB2B;DCX;CPE;NKX2-1	retain in graph but do not pass as a tip	neuron 0 is possibly upstream of LHX8/ISL1-like branch
tip	tip_lhx8_isl1_state1	LHX8/ISL1-like ventral MGE branch state 1	0;1;2;3;5;8;11	neuron-only reclustering subset	4	LHX8;ISL1;GBX2;TAC1;GABRA1;GRIK2;CNTN1	all cells assigned to neuron-only cluster 4	one of two related LHX8/ISL1 endpoint tips; main source original cluster 5
tip	tip_lhx8_isl1_state2	LHX8/ISL1-like ventral MGE branch state 2	0;1;2;3;5;8;11	neuron-only reclustering subset	7	LHX8;ISL1;GBX2;TAC1;CDH23;ZFHX3;TENM1;ACHE	all cells assigned to neuron-only cluster 7	one of two related LHX8/ISL1 endpoint tips; main source original cluster 8
tip	tip_crabp1_angpt2_fetal_precursor	CRABP1/ANGPT2-like fetal precursor branch	0;1;2;3;5;8;11	neuron-only reclustering subset	3	CRABP1;ANGPT2;CXCR4;LHX6;ERBB4;GAD1	all cells assigned to neuron-only cluster 3	ANGPT2 missing in current H5AD, so validation is CRABP1-driven
tip	tip_lhx6_nfia_epha5_mef2c_cortical	LHX6/NFIA plus EPHA5/MEF2C cortical interneuron branch	0;1;2;3;5;8;11	neuron-only reclustering subset	1;2	LHX6;NFIA;EPHA5;MEF2C;SST;NPY;ERBB4;GAD1	all cells assigned to neuron-only clusters 1 or 2	combines moderate LHX6/NFIA-biased state and strong EPHA5/MEF2C-like state as one cortical interneuron branch
tip	tip_nr2f1_nr2f2	NR2F1/NR2F2-like branch	0;1;2;3;5;8;11	neuron-only reclustering subset	5;6;8	NR2F1;NR2F2;LCN9;CSAD;VWC2;VSTM2A;ERBB4	all cells assigned to neuron-only clusters 5, 6, or 8	contains line-biased NR2F1/NR2F2-like states; validate branch carefully
tip	tip_astrocytes	glial_endpoint	4;10	4 - Pre-Astrocytes/Astrocytes 1 | 10 - Pre-Astrocytes/Astrocytes 2	NA	AQP4;GFAP;SLC1A3;ALDH1L1	all retained cells in original clusters 4 and 10	same combined astrocyte tip definition used in prior DIV90 v4 run
tip	tip_opc	glial_endpoint	9	9 - Pre-OPCs/OPCs	NA	PDGFRA;OLIG1;OLIG2;SOX10	all retained cells in original cluster 9	same OPC tip definition used in prior DIV90 v4 run
exclude	exclude_stressed	not_first_lineage_test	6;7	6 - Stressed Cells | 7 - Stressed Cells	NA	NA	exclude or track separately	stress-associated states may distort lineage geometry
